specialty,topic,questions,directTableMapped,productionEligibleMapped
shoulder-elbow,calcific-tendonitis,6,0,0
shoulder-elbow,osteochondritis-dissecans-elbow,6,0,0
hand,polydactyly-hand,6,0,0
shoulder-elbow,little-league-elbow,6,0,0
pediatrics,pediatric-trauma-evaluation-and-management,6,0,0
trauma,talus-fracture-other-than-neck,6,0,0
hand,thumb-collateral-ligament-injury,6,0,0
basic-science,clinical-billing,6,0,0
hand,high-pressure-injection-injuries,6,0,0
pathology,myositis-ossificans,6,0,0
spine,cervical-spine-trauma-evaluation,6,0,0
spine,discogenic-back-pain,6,0,0
trauma,clavicle-fractures-distal,6,0,0
pediatrics,adolescent-blount-s-disease,6,0,0
pathology,undifferentiated-pleomorphic-sarcoma,6,0,0
foot-ankle,tarsal-tunnel-syndrome,6,0,0
pediatrics,fibular-deficiency-anteromedial-bowing,6,0,0
foot-ankle,turf-toe,6,0,0
hand,raynaud-s-syndrome,6,0,0
trauma,hand-and-forearm-compartment-syndrome,6,0,0
hand,scapholunate-ligament-injury-and-disi,6,0,0
foot-ankle,tibiotalar-impingement,5,0,0
pathology,impending-fracture-and-prophylactic-fixation,5,0,0
recon,tka-axial-alignment,5,0,0
hand,trigger-finger,5,0,0
basic-science,fat-embolism-syndrome,5,0,0
hand,jersey-finger,5,0,0
hand,poland-syndrome,5,0,0
hand,ulnocarpal-abutment-syndrome,5,0,0
knee-sports,femoral-neck-stress-fractures,5,0,0
knee-sports,tibial-shaft-stress-fractures,5,0,0
pathology,osteofibrous-dysplasia,5,0,0
hand,sagittal-band-rupture,5,0,0
spine,scheuermann-s-kyphosis,5,0,0
basic-science,cartilage,5,0,0
hand,congenital-radial-ulnar-synostosis,5,0,0
pathology,chordoma,5,0,0
hand,de-quervain-s-tenosynovitis,5,0,0
hand,base-thumb-fractures,5,0,0
shoulder-elbow,elbow-stiffness-and-contractures,5,0,0
recon,tka-instability,5,0,0
knee-sports,snapping-hip-coxa-saltans,5,0,0
pediatrics,flexible-pes-planovalgus-flexible-flatfoot,5,0,0
foot-ankle,hammer-toe,5,0,0
trauma,scapulothoracic-dissociation,5,0,0
spine,lumbar-spine-anatomy,5,0,0
shoulder-elbow,revision-total-elbow-arthroplasty,5,0,0
foot-ankle,anterior-tibialis-tendon-rupture,5,0,0
hand,wrist-ligaments-and-biomechanics,5,0,0
hand,pin-compression-syndrome,5,0,0
recon,tha-other-complications,5,0,0
recon,tha-aseptic-loosening,5,0,0
basic-science,pth-and-vit-d-physiology,5,0,0
shoulder-elbow,shoulder-arthroscopy-indications-and-approach,5,0,0
foot-ankle,foot-puncture-wounds,5,0,0
hand,hypothenar-hammer-syndrome,5,0,0
spine,vertebral-artery-injury,5,0,0
hand,thumb-cmc-dislocation,5,0,0
spine,infantile-idiopathic-scoliosis,5,0,0
